gesture_name,hand,capture_id,timestamp,landmark_id,landmark_name,x,y,z
left_2,Left,74,2026-05-22 22:43:35,0,WRIST,0.3499,0.5768,0.0
left_2,Left,74,2026-05-22 22:43:35,1,THUMB_CMC,0.3447,0.5494,-0.0124
left_2,Left,74,2026-05-22 22:43:35,2,THUMB_MCP,0.331,0.5345,-0.0189
left_2,Left,74,2026-05-22 22:43:35,3,THUMB_IP,0.3193,0.5499,-0.0256
left_2,Left,74,2026-05-22 22:43:35,4,THUMB_TIP,0.3102,0.5687,-0.0319
left_2,Left,74,2026-05-22 22:43:35,5,INDEX_MCP,0.2921,0.5314,-0.011
left_2,Left,74,2026-05-22 22:43:35,6,INDEX_PIP,0.2662,0.514,-0.0229
left_2,Left,74,2026-05-22 22:43:35,7,INDEX_DIP,0.2497,0.5025,-0.0301
left_2,Left,74,2026-05-22 22:43:35,8,INDEX_TIP,0.2352,0.4939,-0.0334
left_2,Left,74,2026-05-22 22:43:35,9,MIDDLE_MCP,0.2867,0.5527,-0.0127
left_2,Left,74,2026-05-22 22:43:35,10,MIDDLE_PIP,0.253,0.5469,-0.025
left_2,Left,74,2026-05-22 22:43:35,11,MIDDLE_DIP,0.2305,0.544,-0.0324
left_2,Left,74,2026-05-22 22:43:35,12,MIDDLE_TIP,0.2124,0.5414,-0.0348
left_2,Left,74,2026-05-22 22:43:35,13,RING_MCP,0.2901,0.5726,-0.0159
left_2,Left,74,2026-05-22 22:43:35,14,RING_PIP,0.2849,0.5815,-0.0332
left_2,Left,74,2026-05-22 22:43:35,15,RING_DIP,0.3024,0.5803,-0.037
left_2,Left,74,2026-05-22 22:43:35,16,RING_TIP,0.3154,0.5764,-0.0333
left_2,Left,74,2026-05-22 22:43:35,17,PINKY_MCP,0.2986,0.591,-0.0198
left_2,Left,74,2026-05-22 22:43:35,18,PINKY_PIP,0.2941,0.5982,-0.0311
left_2,Left,74,2026-05-22 22:43:35,19,PINKY_DIP,0.3077,0.593,-0.0293
left_2,Left,74,2026-05-22 22:43:35,20,PINKY_TIP,0.3193,0.5855,-0.0239
left_2,Left,75,2026-05-22 22:43:36,0,WRIST,0.3555,0.584,0.0
left_2,Left,75,2026-05-22 22:43:36,1,THUMB_CMC,0.3518,0.5577,-0.0127
left_2,Left,75,2026-05-22 22:43:36,2,THUMB_MCP,0.3371,0.5433,-0.0187
left_2,Left,75,2026-05-22 22:43:36,3,THUMB_IP,0.3213,0.5563,-0.0245
left_2,Left,75,2026-05-22 22:43:36,4,THUMB_TIP,0.3082,0.5723,-0.0297
left_2,Left,75,2026-05-22 22:43:36,5,INDEX_MCP,0.3035,0.5247,-0.0099
left_2,Left,75,2026-05-22 22:43:36,6,INDEX_PIP,0.2824,0.4972,-0.0208
left_2,Left,75,2026-05-22 22:43:36,7,INDEX_DIP,0.2686,0.4802,-0.0276
left_2,Left,75,2026-05-22 22:43:36,8,INDEX_TIP,0.2564,0.4681,-0.0307
left_2,Left,75,2026-05-22 22:43:36,9,MIDDLE_MCP,0.2946,0.5431,-0.0107
left_2,Left,75,2026-05-22 22:43:36,10,MIDDLE_PIP,0.2626,0.5256,-0.0221
left_2,Left,75,2026-05-22 22:43:36,11,MIDDLE_DIP,0.2419,0.5156,-0.0288
left_2,Left,75,2026-05-22 22:43:36,12,MIDDLE_TIP,0.2251,0.5078,-0.0308
left_2,Left,75,2026-05-22 22:43:36,13,RING_MCP,0.2945,0.5631,-0.0131
left_2,Left,75,2026-05-22 22:43:36,14,RING_PIP,0.2854,0.5704,-0.0293
left_2,Left,75,2026-05-22 22:43:36,15,RING_DIP,0.3003,0.5769,-0.0328
left_2,Left,75,2026-05-22 22:43:36,16,RING_TIP,0.312,0.5799,-0.0292
left_2,Left,75,2026-05-22 22:43:36,17,PINKY_MCP,0.2995,0.5821,-0.0164
left_2,Left,75,2026-05-22 22:43:36,18,PINKY_PIP,0.2919,0.589,-0.027
left_2,Left,75,2026-05-22 22:43:36,19,PINKY_DIP,0.3037,0.5905,-0.0252
left_2,Left,75,2026-05-22 22:43:36,20,PINKY_TIP,0.3148,0.5893,-0.02
left_2,Left,76,2026-05-22 22:43:37,0,WRIST,0.3427,0.5785,0.0
left_2,Left,76,2026-05-22 22:43:37,1,THUMB_CMC,0.348,0.5608,-0.0135
left_2,Left,76,2026-05-22 22:43:37,2,THUMB_MCP,0.3404,0.5484,-0.0204
left_2,Left,76,2026-05-22 22:43:37,3,THUMB_IP,0.3247,0.5585,-0.0268
left_2,Left,76,2026-05-22 22:43:37,4,THUMB_TIP,0.3109,0.5681,-0.0327
left_2,Left,76,2026-05-22 22:43:37,5,INDEX_MCP,0.3126,0.5228,-0.014
left_2,Left,76,2026-05-22 22:43:37,6,INDEX_PIP,0.2957,0.4924,-0.026
left_2,Left,76,2026-05-22 22:43:37,7,INDEX_DIP,0.284,0.4724,-0.0326
