gesture_name,hand,capture_id,timestamp,landmark_id,landmark_name,x,y,z

left_5,Left,28,2026-05-22 22:41:25,0,WRIST,0.3379,0.6552,0.0
left_5,Left,28,2026-05-22 22:41:25,1,THUMB_CMC,0.34,0.6195,-0.0146
left_5,Left,28,2026-05-22 22:41:25,2,THUMB_MCP,0.3318,0.583,-0.0226
left_5,Left,28,2026-05-22 22:41:25,3,THUMB_IP,0.3221,0.5508,-0.0293
left_5,Left,28,2026-05-22 22:41:25,4,THUMB_TIP,0.3141,0.5239,-0.036
left_5,Left,28,2026-05-22 22:41:25,5,INDEX_MCP,0.284,0.5749,-0.0149
left_5,Left,28,2026-05-22 22:41:25,6,INDEX_PIP,0.2623,0.5402,-0.0254
left_5,Left,28,2026-05-22 22:41:25,7,INDEX_DIP,0.2469,0.5217,-0.0335
left_5,Left,28,2026-05-22 22:41:25,8,INDEX_TIP,0.2331,0.5074,-0.0392
left_5,Left,28,2026-05-22 22:41:25,9,MIDDLE_MCP,0.2692,0.5921,-0.0145
left_5,Left,28,2026-05-22 22:41:25,10,MIDDLE_PIP,0.2382,0.5641,-0.0231
left_5,Left,28,2026-05-22 22:41:25,11,MIDDLE_DIP,0.2192,0.5483,-0.0302
left_5,Left,28,2026-05-22 22:41:25,12,MIDDLE_TIP,0.2031,0.5372,-0.0351
left_5,Left,28,2026-05-22 22:41:25,13,RING_MCP,0.2631,0.6125,-0.0155
left_5,Left,28,2026-05-22 22:41:25,14,RING_PIP,0.2321,0.5966,-0.0237
left_5,Left,28,2026-05-22 22:41:25,15,RING_DIP,0.2122,0.5863,-0.0295
left_5,Left,28,2026-05-22 22:41:25,16,RING_TIP,0.1949,0.5777,-0.0335
left_5,Left,28,2026-05-22 22:41:25,17,PINKY_MCP,0.2643,0.6353,-0.0179
left_5,Left,28,2026-05-22 22:41:25,18,PINKY_PIP,0.2395,0.632,-0.0257
left_5,Left,28,2026-05-22 22:41:25,19,PINKY_DIP,0.2232,0.6285,-0.029
left_5,Left,28,2026-05-22 22:41:25,20,PINKY_TIP,0.2084,0.6241,-0.0308
left_5,Left,29,2026-05-22 22:41:27,0,WRIST,0.3399,0.6626,0.0
left_5,Left,29,2026-05-22 22:41:27,1,THUMB_CMC,0.35,0.6286,-0.0138
left_5,Left,29,2026-05-22 22:41:27,2,THUMB_MCP,0.3468,0.5904,-0.0204
left_5,Left,29,2026-05-22 22:41:27,3,THUMB_IP,0.3399,0.5579,-0.0262
left_5,Left,29,2026-05-22 22:41:27,4,THUMB_TIP,0.3358,0.5308,-0.0319
left_5,Left,29,2026-05-22 22:41:27,5,INDEX_MCP,0.2993,0.5705,-0.0126
left_5,Left,29,2026-05-22 22:41:27,6,INDEX_PIP,0.2832,0.5334,-0.0223
left_5,Left,29,2026-05-22 22:41:27,7,INDEX_DIP,0.2712,0.5124,-0.0296
left_5,Left,29,2026-05-22 22:41:27,8,INDEX_TIP,0.2601,0.496,-0.035
left_5,Left,29,2026-05-22 22:41:27,9,MIDDLE_MCP,0.2833,0.5828,-0.0126
left_5,Left,29,2026-05-22 22:41:27,10,MIDDLE_PIP,0.2579,0.5482,-0.0215
left_5,Left,29,2026-05-22 22:41:27,11,MIDDLE_DIP,0.2415,0.528,-0.0287
left_5,Left,29,2026-05-22 22:41:27,12,MIDDLE_TIP,0.2268,0.5133,-0.0335
left_5,Left,29,2026-05-22 22:41:27,13,RING_MCP,0.275,0.6011,-0.0142
left_5,Left,29,2026-05-22 22:41:27,14,RING_PIP,0.2458,0.5779,-0.0234
left_5,Left,29,2026-05-22 22:41:27,15,RING_DIP,0.2272,0.5633,-0.0297
left_5,Left,29,2026-05-22 22:41:27,16,RING_TIP,0.2109,0.5506,-0.0337
left_5,Left,29,2026-05-22 22:41:27,17,PINKY_MCP,0.2731,0.624,-0.0171
